e,e,h,e,h,h,h,f,c,b,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,h,h,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b
1387,1753,1995,2137,2617,2827,3039,3181,3283,3363,3741,3879,4055,4239,4407,4551,4651,4731,4873,5021,5143,5257,5373,5463,5571,5653,6017,6189,6315,6413,6531,6649,6731,7107,7261,7425,7569,7675,7757,7877,8035,8165,8279,8355,8483,8699,8881,9001,9101,9219,9335,9409,9589,9733,9855,9961,10047,10203,10413,10611,10763,10909,11031,11143,11257,11351,11457,11577,11695,11773
1513,1857,2027,2213,2667,2877,3087,3253,3351,3419,3801,3933,4125,4311,4457,4621,4727,4787,4957,5095,5219,5331,5431,5525,5647,5709,6063,6237,6367,6513,6615,6715,6785,7155,7329,7479,7641,7747,7813,7955,8109,8239,8347,8415,8565,8753,8935,9063,9203,9305,9401,9463,9661,9807,9929,10029,10097,10277,10457,10703,10837,10983,11103,11211,11311,11403,11557,11665,11759,11823
