e,e,h,e,e,h,e,h,h,e,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,k,h,k,h,j
835,1773,1985,2119,2303,2493,2647,3079,3253,4111,4261,4827,4999,5183,5341,5495,5633,5737,5819,5953,6111,6241,6351,6467,6561,6671,6749,6907,7085,7205,7381,7577,7735,7893,8017
927,1881,2025,2189,2377,2537,2717,3123,3305,4173,4309,4873,5045,5241,5411,5549,5711,5813,5883,6033,6189,6319,6425,6531,6629,6741,6811,6989,7163,7285,7469,7641,7791,7947,8073
