h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1833,1971,2161,2337,2491,2627,2729,2807,2959,3117,3233,3341,3455,3543,3651,3767,3879,3955,4101,4309,4475,4605,4703,4819,4929,5007,5135,5291,5413,5519,5597,5749,6241,6391,6515,6615,6733,6843,6921
1859,2017,2221,2391,2539,2697,2799,2865,3035,3189,3307,3407,3511,3605,3747,3853,3947,4017,4183,4365,4531,4669,4803,4899,5003,5071,5215,5367,5487,5593,5657,5831,6295,6449,6579,6709,6813,6913,6985
