e,h,e,e,h,e,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,h,e,c,b,k,f,f,c,b
1339,1519,1633,1681,1823,1965,2119,2295,2479,2617,2717,2799,2953,3117,3257,3361,3481,3575,3679,3759,3895,4055,4175,4291,4407,4501,4605,4729,4841,4921,5069,5227,5351,5463,5577,5671,5777,5899,6015,6095,6243,6395,6519,6629,6713,6859,7075,7249,7381,7485,7605,7723,7801,7931,8091,8217,8325,8409,8537,8701,8837,8947,9057,9153,9263,9387,9501,9581,9751,9915,10039,10149,10235,10391,10579,10743,10863,10969,11093,11211,11295,11541,11701,11885,12077,12191,12275,12409,12563,12689,12799,12885
1413,1559,1673,1707,1851,2019,2151,2345,2517,2683,2783,2853,3031,3185,3327,3431,3535,3633,3747,3809,3971,4127,4251,4359,4467,4557,4707,4817,4907,4973,5145,5297,5427,5533,5639,5733,5871,5985,6081,6151,6323,6471,6595,6695,6765,6937,7123,7305,7443,7589,7693,7787,7855,8009,8163,8291,8397,8461,8617,8777,8911,9017,9119,9213,9357,9473,9569,9637,9827,9991,10111,10215,10287,10471,10633,10795,10919,11069,11183,11271,11345,11585,11749,11933,12121,12259,12327,12487,12641,12767,12867,12935
