h,h,h,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,e,c,b,k,h,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,h,h,h,h,e,h,h,j,d,d,c,b,k,j,d,d,c,b,k,f,f,f,c,b,j,c,b,k,f,f,c,g,j,d,d,c,b
1991,2157,2341,2507,2661,2783,2883,3005,3117,3201,3335,3483,3607,3717,3799,3937,4253,4411,4597,4701,4783,4915,5111,5249,5369,5481,5563,5705,5903,6061,6195,6297,6417,6533,6617,6741,6903,7025,7137,7221,7369,7527,7665,7775,7901,7993,8103,8181,8319,8489,8619,8725,8813,9119,9297,9517,9687,9911,10359,10505,10641,10745,10875,10987,11071,11227,11413,11523,11645,11759,11845,11999,12159,12287,12427,12535,12649,12745,12853,12933,13067,13229,13361,13473,13603,13699,13809,13945,14061,14143
2029,2209,2385,2557,2715,2839,2981,3089,3183,3257,3411,3559,3685,3787,3861,4013,4301,4465,4649,4769,4841,4991,5161,5327,5447,5553,5623,5787,5953,6115,6249,6395,6501,6603,6673,6823,6977,7099,7205,7277,7447,7599,7741,7849,7961,8053,8173,8241,8399,8565,8693,8797,8869,9169,9349,9569,9733,9999,10409,10561,10701,10841,10957,11059,11127,11305,11471,11621,11729,11827,11903,12073,12235,12365,12503,12607,12711,12799,12921,12991,13151,13305,13437,13549,13667,13761,13907,14031,14133,14205
