d,d,c,b,h,h,h,h,f,f,c,b,h,h,f,c,b,k,f,f,c,b,k,f,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k
29,153,269,351,1787,1987,2161,2351,2477,2599,2709,2799,3551,3723,3849,3955,4039,4163,4317,4443,4551,4635,4763,4915,5035,5167,5287,5403,5499,5605,5683,5823,5981,6121,6225,6343,6443,6549,6631,6765,6935,7063,7169,7255,7403
133,239,329,395,1813,2019,2201,2377,2549,2675,2777,2849,3591,3761,3921,4019,4087,4231,4391,4517,4617,4687,4839,4991,5111,5245,5359,5463,5557,5667,5735,5899,6055,6191,6291,6407,6499,6611,6683,6841,7007,7135,7235,7307,7477
