h,e,h,e,e,h,f,c,b,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b
1625,1799,1977,2147,2309,2465,2599,2705,2787,2999,3153,3303,3409,3489,3627,3785,3907,4015,4131,4227,4333,4451,4563,4641,4939,5117,5319,5463,5619,5751,5855,5975,6071,6177,6295,6413,6493,6655,6837,7005,7127,7229,7349,7467,7545,7689,7839,7963,8077,8197,8293,8403,8527,8645,8723
1651,1855,2027,2207,2375,2507,2671,2771,2837,3037,3201,3377,3477,3539,3703,3861,3983,4081,4191,4281,4433,4537,4629,4699,4989,5169,5407,5537,5693,5823,5925,6037,6127,6273,6387,6481,6545,6731,6883,7053,7181,7323,7437,7533,7595,7763,7917,8039,8145,8261,8355,8505,8617,8713,8779
