e,e,e,e,h,e,h,h,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k
1347,1429,1689,1989,2157,2331,2537,2747,2927,3177,3335,3477,3581,3663,3795,3951,4071,4181,4297,4389,4491,4613,4729,4809,4957,5129,5315,5447,5573,5679,5791,5883,5985,6067,6199,6355,6487,6593,6719,6813,6925,7047,7167,7249,7389,7575,7761,7917,8077,8201,8313,8393,8523,8725,8901,9019,9121,9241,9357,9437,9611,9781,9907,10025,10139,10233,10343,10425,10577
1413,1499,1791,2069,2209,2395,2589,2793,2977,3223,3385,3551,3653,3719,3873,4027,4145,4249,4359,4447,4591,4705,4799,4869,5033,5183,5361,5525,5649,5751,5849,5945,6057,6123,6277,6435,6561,6669,6783,6871,7031,7143,7235,7303,7465,7619,7819,7999,8153,8279,8383,8453,8605,8777,8957,9083,9223,9333,9431,9499,9691,9857,9985,10103,10203,10299,10415,10485,10659
