h,h,h,e,h,e,h,f,c,b,j,f,f,c,g,j,d,d,c,b,k,h,f,c,b,k,f,f,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,b,k,e,c,b,k,f,f,c,b
1513,1979,2149,2323,2613,2817,3057,3203,3311,3385,3523,3685,3813,3927,4039,4133,4237,4355,4469,4547,4705,4909,5039,5143,5227,5361,5505,5623,5891,6059,6197,6301,6411,6507,6613,6729,6845,6921,7051,7219,7339,7447,7563,7657,7759,7875,7989,8065,8191,8351,8483,8623,8737,8819,8957,9111,9227,9335,9445,9539,9645,9767,9879,9959,10093,10249,10375,10481,10563,10695,10891,11083,11265,11413,11545,11655,11735,11869,12071,12179,12261,12393,12543,12689,12815,12897
1547,2025,2203,2389,2661,2947,3109,3275,3373,3441,3597,3759,3885,3995,4097,4191,4339,4439,4539,4601,4785,4965,5111,5221,5287,5441,5581,5701,5947,6113,6273,6379,6475,6575,6711,6819,6911,6983,7127,7295,7417,7517,7621,7721,7857,7961,8061,8125,8275,8427,8563,8701,8813,8883,9037,9185,9303,9403,9509,9601,9747,9851,9949,10017,10171,10323,10451,10547,10613,10767,10937,11189,11347,11491,11623,11725,11793,11943,12115,12249,12321,12469,12623,12767,12879,12951
