e,h,e,h,e,h,h,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,h,e,h,f,c,b,k,h,j,d,d,c,b,k,f,f,c,b,k,h,h,e,c,b,k,f
1197,1693,1851,1991,2175,2337,2727,2917,3109,3279,3447,3573,3681,3765,3899,4055,4179,4285,4403,4497,4603,4727,4847,4929,5059,5267,5427,5545,5645,5769,5883,5963,6109,6261,6391,6501,6583,6739,6893,7025,7133,7253,7345,7455,7585,7699,7777,8343,8507,8769,8931,9099,9245,9371,9485,9569,9699,9875,9999,10103,10223,10337,10421,10577,10737,10859,10973,11055,11199,11921,12069,12263,12365,12449,12573,12727
1239,1721,1883,2027,2239,2385,2769,2967,3159,3329,3487,3647,3749,3821,3973,4127,4251,4353,4461,4553,4703,4815,4913,4983,5133,5313,5475,5597,5745,5853,5945,6015,6181,6337,6467,6569,6641,6815,6969,7099,7203,7309,7399,7557,7673,7761,7835,8389,8559,8815,8979,9157,9291,9449,9557,9629,9781,9925,10053,10201,10307,10401,10475,10653,10811,10939,11045,11109,11271,11965,12121,12315,12431,12501,12649,12805
