j,e,h,e,h,h,h,h,e,e,k,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b
751,1485,1635,1809,1985,2603,2787,2959,3145,3417,3605,3751,3863,3943,4073,4223,4349,4457,4573,4665,4771,4891,5007,5089,5235,5423,5613,5817,5955,6061,6145,6273,6471,6643,6759,6859,6979,7093,7173,7301,7453,7575,7685,7805,7901,8005,8129,8245,8325
777,1513,1669,1835,2033,2653,2837,3013,3205,3525,3683,3829,3935,4005,4153,4297,4423,4529,4635,4729,4873,4981,5079,5143,5313,5473,5711,5865,6029,6131,6201,6349,6523,6693,6815,6959,7063,7161,7223,7381,7527,7653,7755,7869,7961,8107,8219,8315,8383
