h,e,h,h,e,e,h,f,c,b,k,f,f,c,b,j,d,d,c,b,k,h,e,k,f,f,c,b,k,h,h,h,j,d,d,c,b,k,h,e,k,f,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,j,d,d,c,b,k,h,e,k,f,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d
1583,1725,1989,2183,2367,2591,2727,2857,2961,3045,3175,3327,3451,3557,3675,3769,3873,3997,4107,4189,4321,4513,4705,4899,5047,5169,5277,5361,5497,5683,5839,6021,6139,6237,6359,6477,6559,6753,6939,7129,7339,7487,7615,7719,7801,7931,8089,8213,8321,8405,8549,8827,8995,9115,9215,9337,9461,9577,9675,9783,9863,9997,10161,10285,10403,10519,10615,10723,10839,10957,11039,11193,11403,11679,11829,11959,12061,12183,12297,12381,12533,12721,12919,13075,13237,13747,13915,14029,14111,14237,14391,14513,14623,14707,14861,15077,15243,15363,15465,15583,15705,15785,15929,16091,16215,16335,16451,16545,16655
1611,1779,2021,2221,2417,2635,2773,2929,3023,3097,3251,3399,3521,3625,3729,3823,3973,4077,4175,4239,4395,4559,4821,4973,5119,5243,5345,5415,5571,5727,5885,6069,6187,6337,6449,6541,6611,6827,6985,7269,7411,7559,7685,7781,7853,8007,8161,8287,8389,8455,8623,8875,9043,9165,9319,9429,9519,9633,9731,9847,9913,10069,10231,10359,10473,10577,10673,10817,10927,11023,11091,11271,11447,11725,11879,12011,12159,12271,12365,12431,12609,12769,13019,13151,13309,13791,13961,14087,14159,14311,14465,14591,14691,14761,14935,15123,15293,15417,15565,15671,15767,15839,16003,16163,16287,16401,16507,16603,16759
