e,h,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,k,h,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1023,1181,1323,1481,1657,1825,1989,2121,2221,2303,2437,2585,2707,2813,2929,3021,3129,3207,3339,3491,3611,3717,3837,3933,4041,4157,4277,4359,4497,4655,4777,4891,5007,5103,5207,5323,5439,5519,5665,5851,6055,6207,6359,6481,6591,6713,6807,6917,7037,7155,7235,7407,7563,7691,7799,7881,8013,8193,8389,8547,8759,8927,9127,9299,9459,9581,9695,9811,9907,10011,10093,10227,10385,10507,10615,10699,10833,11025,11229,11355,11455,11579,11693,11773
1071,1211,1363,1511,1691,1861,2025,2193,2285,2351,2507,2655,2777,2877,2983,3075,3187,3253,3411,3563,3685,3785,3895,3985,4141,4247,4337,4407,4567,4729,4851,4953,5067,5159,5301,5413,5497,5567,5737,5895,6145,6279,6433,6555,6657,6773,6865,7015,7129,7217,7283,7479,7635,7763,7865,7927,8087,8239,8491,8621,8805,8977,9217,9371,9535,9659,9763,9869,9961,10077,10143,10301,10459,10581,10683,10747,10907,11071,11277,11409,11553,11667,11759,11823
