e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,f,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
1415,1855,1995,2151,2305,2443,2541,2621,2751,2915,3035,3141,3257,3349,3449,3567,3679,3755,3895,4081,4277,4425,4571,4685,4789,4911,5001,5105,5181,5315,5471,5593,5693,5807,5901,6007,6121,6233,6313,6443,6635,6827,6969,7079,7161,7291,7457,7581,7695,7805,7889,8007,8157,8283,8389,8505,8599,8703,8823,8937,9015,9161,9349,9539,9691,9843,9961,10071,10187,10283,10385,10461,10617,10781,10901,11007,11095,11229,11421,11583,11717,11815,11931,12047,12127,12261,12421,12543,12667,12777,12895,12991,13099,13177,13311,13471,13593,13715,13833,13929,14037,14119,14263,14417,14561,14665,14783,14879,14983,15111,15219,15299
1445,1887,2053,2195,2349,2509,2605,2673,2823,2987,3107,3211,3317,3409,3545,3651,3741,3805,3963,4129,4375,4495,4641,4759,4857,4973,5059,5171,5237,5389,5543,5661,5759,5863,5957,6105,6207,6295,6361,6519,6679,6881,7043,7149,7217,7367,7533,7655,7771,7875,7939,8089,8231,8357,8459,8565,8655,8803,8909,9001,9067,9237,9397,9627,9769,9917,10037,10141,10245,10339,10449,10517,10695,10853,10975,11075,11145,11305,11467,11635,11773,11911,12021,12113,12181,12337,12495,12623,12741,12849,12955,13049,13167,13233,13389,13547,13673,13785,13897,13989,14101,14169,14333,14489,14631,14735,14845,14939,15085,15197,15289,15355
