e,e,e,h,h,h,f,c,b,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,h,f,c,g,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,f,c,g,j,d,d,c,b
1251,1631,1795,1991,2175,2375,2539,2647,2725,3175,3309,3487,3649,3793,3941,4047,4127,4285,4435,4557,4667,4781,4875,4979,5099,5213,5295,5431,5615,5819,5943,6047,6167,6275,6359,6621,6773,6885,6999,7095,7201,7317,7431,7511,7655,7817,7939,8051,8135,8273,8461,8611,8881,9041,9179,9283,9399,9495,9597,9719,9833,9915,10059,10359,10519,10653,10791,10899,10981,11145,11297,11425,11539,11665,11759,11865,11989,12105,12185,12751,12907,13031,13155,13265,13379,13475,13583,13711,13827,13911
1307,1677,1849,2027,2219,2423,2611,2709,2775,3223,3359,3541,3709,3843,4013,4111,4179,4355,4505,4631,4737,4843,4935,5075,5183,5279,5349,5509,5663,5869,5997,6147,6255,6343,6409,6667,6849,6951,7055,7153,7299,7403,7501,7573,7735,7893,8017,8117,8185,8343,8505,8661,8935,9097,9253,9357,9459,9559,9701,9807,9897,9969,10133,10403,10577,10709,10867,10973,11041,11221,11375,11497,11611,11727,11823,11969,12081,12171,12239,12791,12955,13107,13233,13335,13437,13533,13681,13797,13899,13975
