e,h,e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,e,k,f,f,c,b,k,f,f,c,b
2669,2823,2941,3129,3573,3749,3925,4139,4293,4393,4473,4605,4769,4889,5001,5111,5203,5309,5389,5535,5695,5819,5925,6037,6133,6243,6361,6477,6557,7001,7155,7341,7535,7679,7831,7951,8061,8145,8287,8443,8577,8691,8777
2721,2849,3005,3187,3619,3793,3985,4169,4361,4459,4523,4675,4837,4963,5071,5169,5263,5379,5447,5609,5767,5891,5991,6093,6185,6337,6443,6537,6607,7033,7203,7393,7623,7751,7905,8027,8131,8207,8365,8517,8653,8765,8835
