e,h,e,h,h,h,h,h,f,c,b,k,f,f,c,b,k,c,g,j,c,b,k,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,f,h,h,h,j,d,d,c,b,k,f,f,c,b,h,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b
2121,2271,2427,2609,2823,2999,3193,3367,3505,3613,3695,3865,4025,4149,4263,4345,4475,4637,4751,4843,4947,5027,5155,5353,5511,5685,5791,5869,5991,6153,6277,6393,6509,6599,6707,6827,6939,7021,7149,7305,7581,7741,7927,8035,8135,8259,8371,8455,8617,8773,8909,9017,9097,9597,9753,9929,10035,10117,10241,10391,10511,10619,10705,10837,11021,11177,11297,11399,11519,11631,11713,12049,12195,12385,12491,12571,12693,12845,12973,13083,13199,13291,13397,13519,13635,13715
2155,2305,2471,2643,2855,3035,3239,3417,3577,3677,3747,3939,4099,4223,4329,4399,4551,4699,4809,4899,5015,5081,5233,5401,5563,5733,5857,5927,6069,6227,6351,6459,6565,6657,6805,6915,7005,7069,7223,7377,7635,7795,7969,8095,8235,8343,8439,8509,8691,8847,8983,9091,9157,9643,9805,9979,10107,10173,10319,10465,10585,10691,10755,10917,11069,11231,11357,11497,11605,11699,11769,12103,12245,12429,12559,12631,12773,12921,13049,13155,13259,13353,13495,13605,13703,13771
