h,e,h,h,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,h,h,f,c,g,j,d,d,c,b,h,k,e,h,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,f,f,c,g,j,d,d,c,b
1985,2183,2489,2849,3029,3205,3377,3637,3781,3883,3963,4095,4251,4379,4485,4599,4695,4801,4919,5031,5387,5537,5675,5779,5901,5991,6099,6219,6331,6409,6997,7173,7327,7467,7611,7715,7831,7927,8031,8149,8273,8355,8525,8683,8807,8909,9027,9143,9223,9347,9497,9617,9731,9811,9945,10131,10251,10363,10475,10571,10677,10803,10919,10999,11165,11325,11441,11559,11675,11771,11879,12001,12119,12201,12377,12565,12713,12837,12945,13059,13155,13263,13389,13507,13591
2031,2257,2541,2881,3075,3261,3441,3697,3857,3955,4025,4173,4325,4453,4555,4661,4759,4901,5009,5173,5443,5593,5751,5853,5959,6059,6205,6309,6399,6465,7055,7233,7399,7529,7687,7787,7895,7993,8133,8245,8343,8411,8575,8737,8865,9007,9115,9215,9279,9423,9571,9695,9803,9873,10033,10207,10325,10433,10537,10633,10777,10887,10987,11053,11241,11403,11523,11631,11735,11829,11983,12095,12185,12259,12455,12615,12789,12915,13017,13119,13213,13363,13477,13577,13643
