e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,h,h,j,d,d,c,b,k,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,f,f,c,b,h,h,j,d,d,c,b
931,1367,1539,1989,2139,2311,2453,2553,2635,2801,2951,3065,3175,3289,3385,3491,3571,3703,3863,3981,4091,4207,4299,4401,4519,4633,4711,4891,5079,5253,5361,5443,5569,5723,5847,5957,6075,6167,6275,6357,6479,6635,6755,6871,6983,7077,7185,7267,7391,7553,7681,7789,7907,8003,8115,8237,8353,8433,8723,8917,9085,9267,9419,9533,9633,9753,9871,9949,10095,10289,10463,10639,10747,10831,10961,11117,11243,11353,11473,11569,11673,11795,11915,11997,12929,13079,13251,13403,13545,13649,13735,13875,14027,14157,14263,14383,14479,14585,14703,14823,14907,15053,15241,15435,15555,15667,15755,15999,16165,16289,16391,16517,16633,16715
985,1401,1591,2021,2181,2359,2521,2621,2689,2875,3025,3139,3239,3351,3443,3555,3619,3775,3933,4055,4161,4265,4357,4501,4607,4695,4759,4965,5125,5299,5429,5497,5647,5797,5921,6027,6135,6227,6341,6405,6553,6707,6831,6939,7047,7137,7251,7319,7471,7627,7755,7865,7967,8061,8213,8323,8419,8487,8771,9005,9159,9311,9469,9591,9735,9841,9935,9999,10171,10339,10515,10689,10817,10885,11039,11193,11319,11421,11533,11623,11773,11883,11981,12051,12971,13133,13311,13455,13615,13719,13787,13951,14103,14231,14341,14443,14537,14687,14791,14891,14959,15127,15289,15511,15633,15739,15807,16049,16215,16343,16493,16605,16699,16763
