e,h,e,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,h,e,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
679,1123,1293,1601,1787,1963,2131,2283,2391,2471,2621,2777,2903,3015,3129,3225,3335,3449,3565,3645,3819,3979,4087,4167,4289,4449,4569,4677,4793,4887,4989,5071,5201,5399,5577,5699,5799,5915,6031,6111,6249,6443,6639,6741,6825,6945,7101,7223,7331,7415,7549,7695,7819,7929,8049,8143,8245,8325,8459,8623,8747,8859,8979,9073,9181,9299,9411,9493,9657,9813,9941,10053,10133,10519,10679,10797,10903,11021,11133,11215,11361,11513,11641,11755,11873,11969,12077,12199,12321,12399,12543,12707,12869,12981,13065,13213,13409,13595,13727,13831,13951,14069,14149
705,1157,1323,1653,1819,2043,2181,2353,2457,2527,2691,2849,2979,3081,3183,3281,3431,3537,3631,3703,3873,4055,4159,4227,4365,4525,4643,4745,4849,4941,5057,5119,5281,5451,5627,5759,5895,6007,6097,6167,6323,6491,6683,6811,6871,7023,7175,7301,7399,7473,7625,7773,7895,7997,8103,8199,8309,8379,8535,8699,8823,8925,9039,9135,9281,9391,9477,9547,9729,9887,10015,10119,10185,10563,10727,10853,11001,11113,11203,11271,11437,11589,11721,11829,11935,12031,12179,12287,12391,12459,12621,12785,12945,13049,13123,13293,13459,13645,13789,13937,14043,14139,14213
