j,d,d,c,b,h,e,k,f,f,c,b,k,f,f,c,g,j,c,b,k,e,c,b,k,f,f,c,g,j,d,d,c,b
33,139,265,383,463,1745,1943,2131,2281,2405,2515,2597,2723,2873,3003,3109,3225,3323,3429,3513,3707,3925,4025,4111,4237,4393,4525,4639,4751,4847,4955,5079,5193,5275
87,241,353,449,515,1773,2039,2205,2353,2477,2583,2647,2799,2947,3075,3175,3285,3375,3495,3565,3783,3969,4097,4165,4317,4467,4601,4705,4809,4901,5053,5169,5259,5331
