h,e,e,e,h,e,e,h,f,c,b,k,f,c,g,j,d,d
1989,2203,2397,2533,2699,2851,3027,3189,3335,3437,3517,3671,3827,3931,4059,4149,4261,4383
2023,2287,2439,2603,2749,2923,3093,3237,3405,3505,3573,3747,3903,3999,4115,4213,4361,4465
