h,h,j,d,d,c,b,h,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,f,c,b,k,f,h,e,c,b,k,f,f,c,b,k,f,f,f,c,g,j,d,d,c,b
27,183,307,411,539,655,737,1981,2427,2579,2741,2877,2961,3091,3239,3361,3471,3589,3687,3795,3917,4033,4115,4625,4771,4879,4967,5105,5261,5569,5753,5877,5959,6085,6243,6377,6493,6571,6707,6871,6995,7125,7239,7361,7455,7561,7689,7803,7887
77,233,365,515,631,729,799,2035,2481,2639,2807,2949,3019,3175,3317,3439,3543,3653,3751,3895,4005,4103,4175,4677,4851,4955,5027,5187,5341,5633,5815,5951,6023,6167,6325,6459,6567,6641,6791,6951,7077,7203,7321,7425,7527,7671,7777,7879,7953
