e,h,e,e,e,h,e,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b
819,1431,1591,1769,1959,2109,2295,2545,2705,2859,2963,3043,3213,3367,3493,3615,3731,3825,3931,4011,4141,4295,4427,4539,4653,4749,4853,4973,5085,5165,5295,5463,5583,5699,5815,5913,6019,6141,6255,6337,6629,6809,7013,7197,7307,7399,7507,7629,7743,7825,7957,8119,8253,8357,8473,8569,8675,8797,8911,8995,9145,9295,9439,9547,9633
919,1457,1619,1815,2013,2141,2345,2573,2747,2925,3025,3095,3285,3437,3561,3679,3789,3879,3997,4055,4213,4365,4501,4603,4709,4801,4947,5055,5147,5215,5369,5535,5657,5761,5877,5969,6115,6223,6319,6389,6677,6917,7089,7257,7365,7457,7601,7713,7811,7877,8033,8189,8323,8423,8531,8627,8773,8881,8973,9045,9219,9365,9511,9615,9683
