e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,f,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,h,f,f,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,h,e,c,b,k,f,f,c,g,k,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1843,1993,2133,2233,2315,2439,2591,2713,2823,2935,3029,3133,3249,3365,3443,3601,3823,3981,4121,4225,4305,4431,4585,4699,4807,4919,5011,5115,5235,5353,5463,5541,5677,5843,5973,6083,6193,6287,6391,6511,6629,6711,6837,7027,7225,7345,7427,7575,7729,7849,7955,8065,8159,8267,8387,8505,8587,8723,8909,9081,9207,9309,9431,9545,9625,9887,10063,10193,10313,10427,10509,10631,10807,10993,11131,11253,11357,11473,11569,11673,11799,11917,11999,12217,12399,12541,12665,13143,13319,13429,13567,13673,13761,13885,14037,14157,14265,14347,14485,14687,14847,14953,15055,15175,15291,15373,15499,15661,15805,15913,15997,17005,17187,17299,17379,17509,17657,17775,17881,17995,18091,18193,18273,18401,18553,18681,18789,18873,18995,19163,19277,19387,19469,19627,19849,20013,20135,20235,20361,20479,20561
1875,2025,2191,2295,2357,2503,2657,2779,2883,2987,3079,3229,3329,3425,3491,3673,3867,4025,4191,4291,4355,4503,4653,4767,4869,4973,5063,5209,5323,5433,5527,5595,5749,5913,6039,6145,6251,6339,6483,6599,6693,6759,6905,7075,7255,7407,7475,7643,7801,7917,8019,8119,8215,8361,8471,8571,8631,8795,8955,9129,9259,9403,9515,9607,9675,9933,10113,10269,10389,10493,10561,10703,10851,11041,11203,11325,11425,11533,11623,11773,11887,11975,12045,12285,12445,12615,12735,13183,13351,13475,13641,13735,13811,13957,14109,14227,14331,14395,14559,14733,14903,15003,15157,15263,15355,15421,15575,15731,15877,15979,16045,17039,17227,17359,17423,17583,17729,17845,17951,18051,18145,18255,18317,18475,18627,18751,18851,18923,19069,19233,19351,19453,19521,19699,19895,20059,20185,20335,20449,20541,20607
