e,e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,h,h,j,d,d,c,b,k,f,f,c,b
2023,2409,2601,2783,2923,3085,3243,3383,3491,3573,3705,3855,3975,4087,4201,4297,4401,4483,4615,4783,4909,5023,5105,5235,5413,5579,5745,5869,5975,6099,6215,6299,6443,6647,6825,7013,7165,7285,7395,7511,7605,7713,7835,7953,8033,8171,8331,8455,8575,8659,8795,8951,9075,9193,9307,9405,9511,9595,9733,9889,10017,10131,10211,10377,10563,10735,10861,10961,11085,11203,11285,11419,11573,11703,11817,11899,12107,12267,12395,12497,12623,12739,12823,12983,13153,13285,13399,13485
2151,2469,2697,2823,2995,3145,3291,3455,3557,3629,3785,3931,4049,4161,4261,4357,4473,4545,4695,4857,4985,5097,5169,5313,5463,5633,5803,5933,6073,6189,6289,6353,6519,6693,6957,7091,7239,7359,7467,7575,7669,7811,7925,8027,8095,8253,8407,8533,8649,8717,8875,9027,9155,9267,9369,9463,9587,9655,9819,9967,10093,10201,10273,10455,10615,10787,10919,11063,11173,11271,11341,11501,11651,11781,11891,11957,12165,12321,12457,12599,12715,12811,12881,13065,13231,13365,13475,13543
