e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,e,k,f,f,c,b,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1163,1527,1663,1843,1993,2095,2173,2321,2481,2605,2711,2833,2927,3035,3157,3267,3351,3483,3689,3879,4055,4187,4293,4381,4515,4663,4779,4885,4995,5091,5197,5317,5433,5513,5639,5799,5927,6039,6119,6247,6425,6589,6713,6813,6931,7041,7121,7295,7489,7683,7833,7985,8103,8211,8333,8427,8533,8655,8771,8851,8977,9131,9257,9369,9449,9607,9785,9959,10087,10191,10311,10427,10507
1327,1563,1729,1889,2061,2157,2225,2393,2555,2677,2777,2891,2991,3131,3241,3335,3405,3559,3737,3979,4101,4261,4367,4433,4591,4737,4851,4953,5057,5147,5299,5399,5497,5569,5721,5873,5997,6107,6167,6323,6473,6639,6771,6909,7015,7107,7177,7369,7537,7771,7909,8061,8177,8279,8387,8489,8625,8745,8839,8909,9057,9207,9333,9441,9507,9687,9839,10011,10149,10293,10401,10493,10561
