e,e,h,e,e,h,f,c,b,k,f,f,c,b,k,k,k,h,j,d,d,c,b,k,f,f,f,c,g,j,d,d,c,b,k,h,h,f,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,k,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1943,2275,2471,2599,2773,2959,3089,3197,3279,3413,3575,3709,3823,3909,4033,4219,4389,4557,4679,4781,4901,5015,5095,5227,5385,5509,5651,5757,5877,5973,6075,6199,6311,6395,6529,6721,6893,7019,7119,7239,7353,7435,7585,7801,7995,8145,8293,8435,8543,8657,8751,8861,8939,9075,9231,9353,9467,9553,9681,9857,10039,10157,10259,10383,10497,10581,10763,10919,11041,11153,11271,11367,11473,11599,11715,11799,12463,12639,12771,12913,13019,13103,13235,13387,13509,13623,13707,13837,13991,14113,14233,14353,14447,14555,14679,14791,14877
2109,2347,2499,2665,2835,2997,3165,3263,3331,3491,3649,3781,3887,3959,4111,4269,4441,4609,4735,4881,4989,5083,5151,5307,5463,5587,5725,5825,5933,6033,6171,6285,6379,6455,6609,6769,6941,7071,7221,7323,7417,7487,7663,7849,8089,8221,8371,8511,8613,8717,8811,8933,8999,9159,9311,9431,9537,9605,9759,9905,10085,10215,10361,10471,10567,10639,10841,10997,11119,11225,11331,11431,11575,11687,11785,11851,12503,12691,12823,12991,13093,13163,13315,13467,13591,13695,13759,13911,14069,14191,14301,14413,14505,14659,14769,14865,14933
