h,h,e,e,h,f,c,b,k,j,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,h,f,c,b,k,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,f,c,b,k,f,k,h,h,f,f,c,b,k
1807,1991,2159,2337,2513,2647,2739,2823,2965,3117,3235,3343,3447,3541,3647,3759,3869,3945,4075,4231,4351,4459,4541,4663,4861,5073,5217,5375,5493,5599,5681,5815,6003,6167,6301,6405,6485,6611,6769,6887,6997,7103,7199,7303,7415,7525,7605,8009,8191,8343,8493,8615,8719,8801,8923,9083,9205,9313,9427,9521,9621,9737,9849,9929,10061,10253,10429,10567,10667,10747,10907,11147,11275,11379,11467,11613,11789,11871,11995,12159,12283,12401,12513,12609,12715,12831,12945,13023,13399,13565,13799,13963,14115,14235,14345,14429,14583,14809,14989,15115,15213,15333,15447,15529,15699,16023,16163,16269,16355,16503,16659,16843,17037,17223,17351,17475,17583,17665,17823
1835,2021,2199,2393,2547,2707,2799,2865,3031,3183,3303,3403,3501,3593,3735,3839,3929,3995,4143,4299,4419,4523,4583,4735,4909,5149,5287,5445,5563,5661,5727,5885,6045,6207,6371,6471,6529,6683,6837,6957,7057,7159,7249,7395,7503,7585,7653,8055,8279,8413,8561,8683,8783,8849,8993,9157,9277,9379,9485,9575,9717,9819,9911,9977,10131,10297,10477,10635,10729,10799,10975,11181,11345,11447,11515,11683,11853,11923,12071,12229,12353,12463,12575,12663,12811,12915,13009,13075,13445,13607,13875,14033,14187,14307,14411,14477,14657,14853,15037,15161,15313,15415,15505,15573,15761,16057,16235,16339,16399,16551,16735,16915,17085,17275,17427,17549,17651,17721,17899
