e,h,e,h,e,h,f,c,b,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h
929,1459,1599,1783,1975,2135,2269,2371,2449,2691,2845,3025,3189,3343,3439,3521,3663,3815,3933,4037,4145,4237,4337,4459,4567,4645,4793,4949,5073,5183,5293,5387,5491,5569,5703,5865,5983,6091,6205,6299,6399,6477,6613,6797,6951,7085,7191,7303,7395,7497,7615,7727,7807,7953,8143,8337,8467,8609,8739,8845,8961,9053,9159,9275,9389,9469,9611,9759,9883,9991,10105,10201,10305,10385,10511,10667,10803,10911,11033,11127,11227,11309,11461,11697,11851
955,1489,1663,1809,2023,2171,2331,2435,2499,2735,2887,3073,3239,3407,3503,3567,3729,3883,4003,4101,4199,4289,4431,4539,4627,4693,4861,5019,5141,5245,5349,5439,5553,5617,5775,5935,6053,6155,6263,6351,6461,6527,6687,6841,6999,7157,7257,7359,7449,7593,7699,7791,7859,8025,8189,8405,8537,8681,8807,8907,9013,9101,9255,9361,9449,9511,9679,9831,9957,10055,10163,10253,10369,10435,10585,10739,10873,10981,11093,11181,11289,11361,11535,11747,11901
