h,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
1561,1981,2137,2289,2425,2527,2605,2743,2897,3021,3123,3231,3323,3425,3545,3663,3741,3865,4065,4231,4353,4453,4567,4659,4759,4877,4987,5067,5193,5353,5481,5593,5703,5795,5901,5979,6451,6637,6801,6945,7081,7183,7303,7395,7495,7575,7701,7853,7973,8083,8203,8295,8409,8527,8637,8713
1591,2015,2175,2331,2493,2591,2653,2813,2965,3087,3181,3283,3373,3523,3637,3723,3793,3933,4109,4271,4423,4519,4623,4713,4859,4959,5051,5111,5263,5425,5553,5659,5763,5849,5963,6031,6501,6737,6871,7017,7153,7247,7361,7449,7559,7627,7773,7927,8049,8153,8263,8351,8505,8609,8703,8771
