h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,c,b,h,e,h,f,f,c,g,j,d,d,c,b,h,h,h,e,k,f,f,c,b,k,h,c,b,k,f,f,c,g,j,d,d,c,b
1601,1981,2259,2425,2569,2675,2753,2905,3057,3181,3291,3399,3491,3595,3713,3827,3907,4055,4209,4327,4449,4563,4655,4765,4843,4965,5117,5239,5347,5457,5551,5657,5733,5861,6017,6145,6257,6371,6465,6569,6689,6763,7037,7211,7339,7477,7595,7705,7821,7917,8019,8137,8245,8327,8583,8751,8999,9049,9143,9291,9411,9521,9609,9763,9971,10299,10381,10501,10651,10773,10881,10997,11093,11195,11317,11435,11515
1627,2011,2329,2469,2639,2741,2809,2985,3127,3253,3359,3457,3553,3687,3799,3897,3965,4135,4283,4401,4521,4623,4719,4835,4903,5049,5189,5311,5415,5517,5613,5727,5795,5945,6093,6219,6327,6433,6529,6661,6759,6823,7085,7261,7395,7551,7671,7775,7879,7973,8117,8221,8309,8375,8629,8795,9039,9081,9215,9365,9483,9589,9661,9841,10025,10355,10429,10575,10723,10847,10949,11055,11147,11293,11403,11497,11565
