h,h,h,e,e,h,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b
1495,1665,1995,2157,2349,2471,2597,2689,2769,2911,3055,3171,3279,3389,3483,3585,3703,3813,3889,4019,4173,4291,4401,4513,4609,4715,4793,4935,5111,5277,5401,5507,5619,5713,5815,5933,6049,6129,6291,6441,6559,6667,6781,6877,6981,7101,7215,7297,7433,7585,7705,7813,7933,8027,8129,8251,8363,8443,8581,8753,8931,9053,9155,9275,9387,9469,9609,9771,9899,10007,10087,10231,10433,10629,10755,10857,10977,11095,11171,11449,11631,11767,11875,11959,12091,12239,12369,12481,12593,12689,12795,12925,13043,13121
1521,1695,2029,2207,2377,2513,2657,2755,2819,2979,3123,3241,3345,3445,3535,3679,3785,3869,3939,4087,4241,4361,4467,4573,4663,4773,4843,4991,5151,5317,5471,5571,5673,5765,5911,6017,6111,6177,6363,6511,6631,6731,6839,6929,7079,7183,7275,7341,7503,7655,7777,7877,7987,8081,8227,8331,8427,8495,8651,8795,8979,9103,9253,9359,9451,9511,9687,9843,9973,10071,10145,10309,10481,10679,10807,10955,11063,11153,11221,11495,11683,11839,11947,12013,12167,12313,12441,12549,12653,12747,12901,13007,13105,13171
