c,b,h,e,h,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b
27,109,1979,2137,2295,2429,2533,2615,2741,2939,3113,3249,3369,3481,3593,3689,3797,3921,4039,4119
97,163,2015,2193,2347,2503,2601,2667,2823,2985,3165,3323,3447,3551,3657,3747,3895,4007,4107,4177
