h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,b,k,h,f,c,g,j,d,d,c,b,k,h,j,d,d,c,b,k,f,f,c,b,h,e,k,f,f,c,b,k,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,b,h,h,k
1531,1693,1863,1995,2099,2179,2303,2453,2569,2677,2789,2885,2999,3109,3219,3295,3431,3637,3827,3951,4065,4167,4251,4377,4533,4655,4765,4877,4971,5077,5193,5307,5383,5529,5711,5907,6031,6149,6267,6371,6483,6577,6679,6799,6913,6991,7159,7313,7429,7539,7619,7745,7935,8123,8295,8445,8561,8667,8751,8897,9083,9219,9329,9439,9533,9635,9757,9873,9953,10089,10289,10417,10517,10641,10753,10831,10985,11141,11265,11373,11455,11883,12081,12237,12387,12509,12613,12699,12827,13001,13207,13403,13537,13641,13759,13855,13965,14087,14201,14285,14439,14591,14721,14823,14915,15289,15459,15605
1557,1721,1889,2059,2159,2227,2371,2521,2635,2741,2847,2937,3085,3191,3277,3343,3503,3679,3863,4019,4135,4231,4301,4451,4603,4727,4829,4933,5025,5171,5277,5367,5431,5601,5755,5947,6101,6219,6341,6437,6537,6629,6775,6881,6979,7047,7231,7385,7501,7601,7671,7815,7981,8233,8367,8513,8633,8737,8805,8971,9133,9293,9395,9497,9591,9729,9843,9939,10007,10163,10337,10467,10621,10729,10815,10883,11057,11215,11335,11435,11499,11929,12171,12307,12461,12581,12679,12747,12899,13045,13329,13453,13611,13705,13819,13909,14061,14177,14263,14335,14507,14665,14791,14891,14957,15319,15495,15671
