h,e,h,e,e,h,f,c,b,h,h,h,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,c,g,j,c,b,h,h,h,f,f,c,b,k,f,f,c,g,j,c,b
633,787,1821,1973,2141,2313,2457,2563,2643,2917,3085,3263,3453,3587,3695,3777,3915,4073,4199,4309,4395,4523,4681,4811,4923,5035,5131,5237,5319,5463,5663,5821,5943,6045,6169,6285,6367,6535,6687,6811,6919,7043,7131,7241,7361,7477,7557,7693,7859,7987,8103,8189,8331,8533,8697,8827,8929,9051,9169,9249,9407,9571,9703,9811,9931,10025,10137,10215,10361,10511,10631,10749,10829,10965,11139,11253,11347,11455,11537,11843,12003,12151,12285,12413,12527,12611,12751,12907,13031,13141,13267,13365,13473,13555
669,871,1851,2031,2203,2363,2529,2629,2699,2963,3133,3315,3503,3661,3767,3837,3995,4147,4275,4381,4451,4599,4759,4887,4995,5099,5191,5301,5377,5539,5711,5875,5999,6145,6255,6351,6423,6613,6763,6885,6991,7097,7193,7337,7453,7547,7617,7773,7931,8065,8179,8253,8415,8585,8753,8889,9033,9139,9243,9309,9485,9647,9781,9885,9991,10087,10205,10279,10443,10591,10707,10825,10895,11051,11215,11315,11411,11529,11597,11895,12057,12205,12363,12493,12605,12675,12833,12985,13109,13207,13329,13427,13545,13617
