e,h,e,h,h,e,e,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b
1065,1251,1391,1985,2147,2323,2497,2787,2953,3099,3203,3285,3553,3709,3869,3979,4097,4193,4303,4421,4539,4619,5011,5189,5357,5509,5647,5749,5835,5965,6119,6243,6361,6475,6571,6679,6805,6917,7001,7131,7297,7427,7537,7621,7751,7951,8113,8233,8335,8459,8573,8657,8797,8955,9099,9209,9331,9425,9533,9655,9769,9853,9989,10141,10267,10377,10465
1117,1279,1451,2013,2175,2365,2549,2817,2997,3171,3271,3341,3629,3783,3943,4053,4157,4251,4403,4509,4601,4671,5059,5247,5419,5559,5719,5819,5891,6047,6193,6321,6431,6535,6631,6779,6893,6987,7047,7209,7371,7501,7605,7677,7833,8003,8167,8291,8435,8543,8635,8709,8873,9029,9177,9281,9389,9483,9635,9743,9839,9909,10061,10215,10345,10449,10521
