h,f,f,c,g,j,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b
97,233,359,473,595,691,1673,1847,1989,2119,2225,2309,2437,2589,2717,2823,2939,3039,3145,3229,3377,3537,3659,3767,3891,3987,4097,4217,4331,4413,5045,5197,5359,5495,5635,5745,5831,5961,6121,6247,6361,6445,6571,6771,6961,7091,7193,7317,7435,7513,7645,7803,7935,8047,8133
151,311,439,543,655,745,1705,1885,2029,2191,2293,2359,2511,2663,2791,2893,3001,3095,3211,3279,3453,3611,3735,3835,3949,4041,4197,4301,4393,4471,5095,5247,5413,5545,5715,5815,5883,6037,6197,6321,6429,6497,6645,6821,7015,7149,7301,7405,7497,7571,7721,7879,8009,8119,8195
