h,e,e,h,f,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,f,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,k,c,g,j,d,d,c,b,h,h,h,j,d,d,c,b,k,f,f,c,b,h,h,e,h,f,c,b,k,f,f,c,b,h,e,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b
1797,1971,2109,2275,2409,2511,2585,2729,2909,3077,3215,3317,3397,3527,3681,3803,3909,4017,4109,4215,4329,4445,4521,4665,4821,4941,5051,5171,5263,5369,5489,5595,5675,5831,5985,6105,6219,6299,6435,6623,6795,6931,7055,7163,7277,7371,7475,7595,7703,7783,7911,8075,8205,8359,8539,8649,8739,8843,8967,9079,9159,9439,9627,9803,9943,10049,10167,10279,10357,10515,10679,10805,10913,10993,11271,11431,11615,11755,11891,12005,12085,12213,12371,12503,12621,12701,13559,13735,13865,14013,14141,14253,14371,14463,14565,14687,14801,14881,15013,15163,15285,15399,15479,15615,15853,15969,16053,16181,16333,16469,16585,16707,16801,16907,17035,17161,17241,17397,17585,17789,17959,18113,18243,18353,18469,18561,18669,18747
1827,2003,2159,2311,2471,2571,2639,2803,2953,3129,3285,3383,3451,3599,3751,3873,3975,4071,4163,4305,4407,4511,4577,4737,4895,5015,5111,5227,5319,5463,5565,5661,5729,5885,6059,6179,6289,6353,6513,6675,6849,7003,7129,7233,7339,7427,7573,7675,7769,7839,7989,8151,8279,8441,8609,8709,8803,8941,9055,9153,9217,9493,9683,9857,10003,10143,10253,10351,10415,10591,10753,10883,10985,11051,11319,11483,11667,11811,11967,12079,12147,12297,12447,12583,12689,12759,13603,13779,13911,14087,14217,14323,14431,14523,14661,14771,14871,14939,15091,15239,15363,15469,15537,15693,15911,16037,16111,16259,16409,16545,16657,16765,16861,17011,17127,17231,17297,17473,17633,17891,18037,18189,18317,18421,18529,18621,18737,18807
