h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,e,h,f,c,g,j,d,d,c,b,k,h,f,f,c,g,j,d,d,c,b,h,e,e,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,h,e,c,b,k,f,f,c,g,j,d,d,c,b
1259,1823,1991,2099,2177,2359,2517,2647,2749,2861,2961,3065,3183,3295,3379,3649,3809,3915,4039,4131,4235,4355,4475,4555,4773,4947,5075,5179,5299,5411,5497,5649,5817,5955,6065,6177,6273,6379,6505,6621,6705,7099,7273,7433,7575,7721,7827,7945,8043,8145,8269,8385,8469,8601,8809,8943,9069,9181,9305,9401,9507,9637,9755,9837,10687,10859,11073,11225,11379,11497,11611,11693,11825,12029,12219,12343,12445,12563,12679,12763,12933,13117,13247,13651,13833,13951,14035,14179,14335,14471,14585,14707,14803,14907,15033,15151,15235
1289,1855,2051,2157,2223,2425,2585,2711,2813,2915,3009,3157,3267,3351,3425,3695,3879,3981,4091,4187,4333,4443,4533,4593,4819,4991,5121,5275,5383,5475,5547,5723,5891,6027,6131,6237,6331,6481,6593,6685,6753,7143,7319,7481,7617,7795,7895,8005,8097,8245,8353,8449,8519,8675,8859,9019,9141,9251,9365,9459,9607,9723,9821,9885,10723,10905,11165,11295,11451,11573,11677,11741,11899,12077,12267,12395,12543,12651,12743,12813,13007,13191,13321,13705,13879,14019,14087,14255,14411,14543,14655,14767,14863,15011,15121,15217,15285
