e,h,e,h,h,e,e,k,f,f,c,g,j,d,d,c,b,k,h,h,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,b,k,f,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b
1537,1987,2147,2411,2607,2765,2937,3135,3295,3411,3519,3633,3727,3833,3953,4067,4147,4285,4483,4663,4801,4919,4997,5121,5271,5393,5503,5619,5711,5819,5943,6059,6139,6275,6431,6561,6667,6785,6883,6991,7073,7211,7379,7505,7619,7735,7829,7937,8055,8169,8249,8387,8585,8763,8887,8991,9111,9229,9313,9459,9615,9741,9849,9931,10075,10235,10365,10473,10591,10687,10799,10925,11043,11127,11261,11423,11579,11701,11783,11933,12103,12231,12347,12469,12565,12673,12807,12923,13005,13507,13679,13801,13883,14015,14179,14303,14433,14515,14653,14863,15029,15143,15251,15375,15489,15573,15715,15875,16023,16129,16215,16375,16551,16685,16797,16919,17015,17127,17255,17371,17453,18319,18523,18699,18859,18981,19093,19177,19341,19495,19651,19895,20087,20193,20277,20407,20557,20683,20795,20917,21013,21123,21247,21363,21443
1651,2019,2181,2453,2645,2823,3051,3209,3367,3483,3587,3691,3785,3933,4041,4135,4203,4365,4533,4721,4865,4987,5057,5201,5345,5463,5573,5681,5771,5921,6027,6125,6193,6351,6505,6635,6735,6847,6943,7055,7125,7289,7453,7575,7687,7795,7887,8033,8137,8235,8301,8461,8637,8821,8945,9091,9199,9301,9371,9537,9687,9817,9919,9991,10153,10313,10437,10551,10653,10747,10901,11013,11111,11185,11341,11499,11655,11769,11841,12011,12179,12311,12423,12531,12625,12779,12893,12993,13061,13557,13733,13871,13941,14095,14255,14381,14503,14573,14737,14913,15083,15211,15355,15461,15563,15635,15795,15953,16095,16199,16271,16453,16627,16759,16873,16983,17079,17231,17347,17439,17513,18367,18627,18777,18937,19057,19161,19235,19419,19573,19733,19947,20139,20263,20337,20489,20633,20761,20871,20973,21073,21223,21337,21433,21503
