e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,e,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b
1645,1989,2503,2667,2819,2919,2999,3139,3287,3401,3511,3623,3715,3823,3941,4055,4129,4355,4515,4641,4741,4863,4979,5055,5189,5409,5533,5665,5767,5879,5973,6077,6195,6307,6383,6519,6675,6797,6907,6987,7119,7299,7467,7603,7707,7821,7917,8019,8139,8255,8335,8475,8623,8753,8865,8981,9075,9177,9257,9405,9591,9801,9959,10111,10233,10341,10457,10553,10659,10781,10899,10981,11311,11463,11593,11693,11811,11927,12007
1713,2017,2545,2717,2887,2983,3051,3209,3355,3471,3579,3683,3773,3923,4027,4121,4187,4405,4567,4697,4843,4949,5045,5111,5265,5455,5585,5735,5833,5937,6029,6177,6281,6369,6439,6597,6745,6865,6973,7041,7195,7353,7519,7677,7777,7875,7975,8115,8227,8325,8391,8551,8697,8827,8929,9039,9133,9243,9309,9481,9639,9905,10035,10185,10307,10407,10517,10611,10765,10869,10967,11037,11363,11515,11649,11789,11899,11987,12061
