e,e,e,e,h,h,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,f,h,h,g,k,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b,k,h,h,e,h,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b
453,751,1019,1365,1563,1801,1981,2249,2433,2617,2803,2943,3089,3191,3271,3425,3583,3703,3819,3933,4029,4135,4253,4367,4449,4613,4761,4885,4995,5111,5203,5311,5387,5513,5711,5869,6013,6361,6505,6647,6821,6937,7019,7141,7295,7425,7533,7645,7741,7847,7967,8081,8163,8855,9015,9179,9315,9451,9553,9631.2,9757,9901,10019,10131,10213,10339,10497,10613,10707,10813,10943,11057,11139,11275,11481,11667,12263,12327,12477,12649,12773,12909,13019,13103,13231,13383,13511,13619,13703,13827,13977,14101,14209,14329,14425,14535,14653,14767,14847,15011,15163,15283,15395,15479
533,855,1109,1423,1599,1835,2027,2285,2491,2681,2865,2997,3163,3259,3329,3499,3657,3783,3893,3997,4089,4231,4341,4437,4509,4691,4837,4959,5065,5165,5263,5375,5443,5593,5759,5921,6093,6409,6555,6705,6877,7007,7069,7223,7377,7505,7607,7705,7807,7947,8057,8147,8217,8899,9065,9235,9363,9529,9624.3,9697,9839,9979,10099,10205,10275,10427,10577,10677,10769,10925,11033,11125,11197,11353,11533,11729,12293,12377,12529,12705,12825,12987,13095,13165,13311,13461,13585,13689,13757,13911,14059,14183,14283,14389,14489,14639,14741,14837,14909,15091,15241,15359,15463,15533
