h,e,h,e,h,k,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,j,d,d,c,b,k,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,e
1669,1801,1985,2123,2323,2647,2805,2969,3075,3157,3309,3471,3587,3709,3819,3915,4023,4145,4255,4337,4481,4641,4767,4879,4993,5091,5197,5325,5443,5523,5681,5867,6003,6147,6253,6339,6467,6637,6761,6873,6995,7093,7203,7323,7439,7519,7671,7875,8073,8247,8401,8527,8641,8723,8895,9051,9177,9297,9381,9545,9711,9843,9965,10081,10179,10287,10415,10531,10615,10805,10999,11159,11285,11389,11517,11637,11719,11885,12085,12289
1703,1885,2029,2205,2367,2679,2857,3041,3145,3217,3385,3545,3665,3779,3881,3983,4125,4231,4327,4397,4565,4717,4843,4953,5057,5153,5299,5415,5513,5583,5761,5923,6055,6221,6327,6401,6545,6713,6839,6949,7057,7159,7305,7413,7511,7575,7751,7925,8175,8327,8477,8603,8715,8789,8983,9133,9255,9369,9445,9633,9789,9921,10039,10143,10245,10391,10503,10603,10679,10885,11047,11209,11347,11495,11605,11709,11775,11963,12135,12347
