h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,e,e,h,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,h,e,k,c,g,j,d,d,c,b,h,e,k,f,f,c,b,k,f,f,f,c,g,j,d,d,c,b,h,e,h,f
1361,1725,1861,1991,2091,2171,2295,2443,2557,2659,2763,2853,2953,3027,3153,3299,3425,3527,3637,3731,3837,3947,4055,4131,4291,4483,4649,4845,4943,5119,5253,5349,5463,5559,5661,5777,5885,5963,6099,6285,6485,6655,6795,6917,7023,7135,7227,7329,7449,7559,7639,7779,7939,8057,8173,8283,8377,8481,8557,8689,8887,9067,9193,9289,9405,9523,9601,9741,9901,10027,10129,10213,10367,10517,10645,10743,10829,11007,11199,11409,11577,11725,11837,11929,12029,12147,12261,12341,12833,13031,13195,13341,13459,13563,13649,13783,13933,14063,14183,14289,14409,14503,14607,14727,14847,14929,15155,15351,15575,15715
1391,1751,1895,2057,2151,2213,2359,2505,2619,2717,2815,2903,3005,3071,3219,3365,3493,3591,3691,3781,3927,4027,4111,4175,4359,4525,4695,4935,4989,5163,5319,5413,5521,5607,5755,5857,5945,6003,6167,6329,6587,6721,6865,6987,7087,7191,7277,7423,7531,7623,7685,7849,8009,8127,8237,8339,8429,8541,8607,8761,8931,9111,9239,9387,9491,9583,9645,9811,9973,10097,10195,10261,10437,10585,10713,10813,10877,11079,11239,11499,11623,11787,11889,11975,12123,12231,12321,12385,12875,13127,13265,13411,13531,13635,13703,13863,14005,14137,14257,14359,14467,14561,14707,14817,14911,14979,15203,15445,15621,15787
