k,j,k,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b
7,183,355,489,597,715,833,917,1985,2173,2317,2455,2565,2653,2785,2937,3061,3171,3255,3387,3545,3673,3789,3907,4005,4113,4243,4363,4445,4577,4745,4875,4995,5083
71,235,413,551,695,807,903,979,2037,2239,2377,2535,2637,2711,2865,3017,3141,3243,3313,3467,3623,3755,3865,3971,4063,4219,4337,4433,4505,4659,4823,4955,5067,5139
