e,h,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,k,h,e,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,e,h,f,c,b,k,f,h,h,h,j,d,d,c,b,h,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b
803,1193,1377,1635,1983,2173,2373,2507,2639,2741,2823,2961,3117,3231,3339,3449,3541,3643,3759,3871,3947,4071,4227,4349,4459,4573,4667,4771,4891,5003,5085,5225,5411,5597,5721,5817,5941,6053,6131,6389,6585,6705,6835,6931,7025,7149,7297,7423,7547,7653,7751,7855,7973,8089,8167,8293,8455,8619,8815,9011,9103,9187,9313,9467,9587,9699,9779,9913,10063,10187,10299,10415,10509,10615,10739,10855,10935,11565,11735,11859,11997,12101,12187,12327,12477,12605,12711,12825,12921,13025,13145,13259,13341,13471,13687,13895,14015,14115,14239,14353,14439,14647,14837,15103,15251,15387,15495,15577,15707,15859,16087,16323,16497,16621,16727,16845,16957,17035,17361,17559,17695,17821,17933,18015,18143,18311,18439,18549,18663,18763,18869,18997,19115,19195
845,1221,1405,1663,2027,2233,2425,2553,2707,2807,2879,3031,3185,3301,3399,3505,3593,3739,3839,3937,3999,4147,4295,4419,4525,4629,4725,4871,4975,5067,5133,5295,5457,5639,5769,5919,6025,6117,6177,6433,6617,6751,6907,7003,7075,7223,7371,7501,7611,7713,7805,7953,8061,8153,8223,8367,8527,8689,8861,9051,9169,9241,9389,9541,9663,9769,9839,9993,10143,10265,10365,10473,10567,10717,10825,10919,10985,11611,11789,11911,12073,12167,12239,12403,12555,12681,12781,12881,12977,13125,13229,13327,13397,13547,13735,13937,14069,14213,14325,14417,14491,14715,14883,15173,15299,15461,15565,15635,15785,15935,16129,16367,16541,16671,16821,16929,17023,17087,17411,17607,17775,17899,18003,18071,18219,18383,18515,18619,18725,18819,18971,19085,19181,19251
