h,h,h,f,h,k,f,f,c,g,j,c,b,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,e,h,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,h,e,c,b,k,h,h,j,d,d,c,b
97,289,433,577,1387,1835,1993,2121,2227,2339,2433,2537,2619,3169,3341,3477,3613,3717,3799,3919,4069,4191,4297,4381,4517,4707,4877,5005,5105,5223,5337,5419,5551,5737,5883,6023,6125,6239,6335,6439,6519,6649,6803,6927,7033,7141,7237,7345,7467,7587,7665,7829,8027,8193,8315,8417,8541,8655,8737,8877,9039,9159,9273,9359,9487,9669,9817,9929,10041,10139,10241,10323,10513,10719,10919,11103,11209,11295,11423,11623,11779,11905,12005,12129,12245,12327
129,323,483,653,1419,1903,2065,2193,2295,2397,2483,2599,2659,3203,3385,3523,3687,3781,3847,3993,4143,4263,4369,4435,4593,4757,4927,5061,5207,5309,5401,5463,5627,5789,5931,6095,6195,6295,6389,6501,6569,6721,6875,7003,7101,7199,7295,7445,7559,7653,7723,7901,8073,8237,8369,8515,8629,8719,8789,8951,9113,9237,9343,9415,9565,9741,9891,9995,10103,10195,10307,10375,10587,10769,10959,11161,11283,11351,11503,11673,11827,11957,12109,12215,12311,12381
