h,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,f,c,b,k,h,h,e,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b
77,205,305,427,539,619,779,1987,2177,2367,2509,2619,2699,2831,2983,3103,3229,3335,3417,3557,3757,3931,4129,4299,4449,4573,4679,4793,4889,4993,5075,5205,5463,5641,5757,5861,5983,6103,6185
133,267,409,513,611,675,855,2031,2277,2415,2585,2691,2759,2911,3059,3175,3307,3409,3473,3633,3809,3987,4237,4375,4527,4649,4749,4857,4945,5063,5131,5287,5515,5699,5817,5963,6073,6167,6239
