e,h,e,h,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,e,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
1241,1411,1591,1989,2155,2303,2407,2491,2617,2771,2893,3005,3085,3219,3365,3487,3593,3703,3799,3899,3977,4107,4295,4481,4667,4813,4939,5049,5135,5259,5463,5613,5731,5831,5953,6063,6145,6275,6431,6553,6657,6779,6871,6975,7057,7195,7419,7537,7649,7743,7847,7965,8081,8159,8329,8501,8649,8767,8873,8965,9065,9147,9305,9459,9581,9687,9797,9891,9997,10119,10231,10311
1277,1441,1633,2027,2199,2369,2471,2535,2687,2843,2967,3075,3143,3293,3439,3553,3657,3757,3849,3963,4029,4179,4343,4595,4743,4887,5011,5111,5185,5333,5499,5665,5783,5927,6039,6129,6199,6353,6505,6627,6723,6841,6931,7043,7107,7269,7477,7609,7711,7805,7949,8053,8149,8219,8405,8577,8721,8829,8929,9019,9129,9195,9377,9533,9655,9751,9853,9949,10097,10201,10295,10359
