e,h,e,e,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,g,j,d,d,c,b,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,h,j,d,d,c,b,h,h,e,k,f,f,f,c,b,k,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
929,1631,1781,1983,2153,2327,2527,2685,2789,2869,3005,3161,3279,3391,3507,3603,3709,3791,3925,4117,4293,4429,4553,4659,4779,4869,4977,5057,5189,5345,5493,5609,5731,5827,5933,6019,6157,6343,6519,6665,6771,6891,6985,7095,7217,7337,7421,7665,7849,7959,8039,8173,8333,8455,8571,8689,8785,8893,9015,9131,9213,9347,9505,9647,9763,9845,10033,10231,10415,10583,10737,10857,10961,11089,11205,11287,11585,11767,11981,12151,12305,12431,12559,12679,12765,12889,13097,13299,13489,13611,13695,13825,13979,14113,14239,14363,14457,14563,14681,14805,14885,16109,16361,16611,16785,16945,17085,17221,17329,17413,17539,17695,17827,17939,18023,18165,18409,18577,18693,18799,18925,19043,19129
1063,1663,1843,2037,2195,2373,2569,2757,2855,2925,3085,3235,3351,3459,3567,3661,3775,3847,4003,4167,4347,4505,4629,4729,4837,4929,5045,5111,5265,5421,5569,5677,5793,5887,6003,6075,6233,6395,6569,6741,6845,6953,7047,7197,7311,7399,7471,7717,7899,8031,8097,8255,8409,8537,8645,8753,8847,8991,9103,9203,9275,9427,9581,9723,9833,9901,10113,10279,10467,10629,10791,10919,11063,11179,11275,11349,11635,11823,12077,12233,12385,12509,12635,12755,12827,12971,13147,13353,13549,13685,13753,13911,14057,14191,14307,14423,14519,14669,14769,14873,14941,16151,16405,16665,16837,16997,17141,17297,17401,17473,17619,17773,17901,18013,18083,18245,18463,18631,18761,18899,19013,19117,19191
