e,h,e,e,e,h,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,h,h,f,f,c,g,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,b,h,e
775,1319,1467,1657,1823,1991,2157,2387,2547,2683,2797,2871,2999,3155,3281,3383,3493,3589,3689,3807,3925,4001,4341,4539,4889,5053,5207,5337,5467,5571,5679,5773,5877,5995,6107,6191,6335,6553,6715,6843,6963,7071,7187,7281,7389,7511,7625,7705,8357,9159
865,1349,1523,1709,1881,2023,2199,2423,2595,2755,2861,2929,3077,3227,3349,3451,3551,3645,3785,3895,3987,4055,4387,4597,4935,5103,5259,5415,5539,5639,5735,5827,5973,6079,6171,6241,6407,6605,6767,6919,7041,7139,7245,7341,7489,7601,7697,7763,8409,9209
