e,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,h,h,h,e,k,f,f,c,b,k,h,h,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h
1451,1805,1983,2257,2407,2545,2647,2731,2885,3045,3175,3277,3401,3499,3603,3689,3825,3979,4101,4211,4329,4427,4541,4623,4759,4935,5065,5177,5287,5385,5491,5571,5699,5861,5991,6107,6243,6339,6445,6571,6689,6771,7097,7259,7387,7489,7607,7727,7811,8103,8245,8405,8647,8807,8957,9079,9187,9271,9403,9597,9789,9931,10043,10125,10255,10413,10549,10657,10773,10871,10979,11063,11213,11371,11501,11613,11697,11825,12431
1499,1837,2027,2305,2445,2613,2713,2779,2963,3119,3245,3345,3459,3549,3669,3737,3899,4051,4175,4277,4389,4483,4603,4671,4835,5011,5141,5247,5347,5439,5557,5625,5775,5935,6069,6173,6303,6399,6543,6657,6757,6825,7149,7305,7443,7585,7699,7795,7863,8145,8293,8455,8743,8881,9031,9155,9255,9323,9481,9645,9841,9995,10111,10181,10337,10487,10625,10725,10833,10929,11049,11111,11287,11447,11577,11681,11749,11899,12479
