h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,h,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,h,h,j,d,d,c,b,k,h,e,h,h,f,c,b,k,f
1839,1985,2153,2313,2447,2547,2627,2757,2907,3027,3139,3251,3345,3453,3531,3659,3817,3935,4047,4159,4251,4355,4433,4569,4735,4921,5057,5195,5299,5383,5507,5665,5787,5893,6003,6097,6201,6319,6431,6511,6647,6849,7029,7145,7243,7359,7473,7551,7711,7863,7987,8097,8207,8301,8409,8529,8641,8721,8867,9101,9269,9423,9547,9659,9741,9869,10029,10151,10259,10377,10473,10577,10695,10805,10887,11017,11201,11385,11589,11751,11867,11967,12089,12209,12289,12459,12643,12835,12969,13101,13211,13295,13429,13585,13707,13993,14145,14277,14379,14507,14627,14709,14869,15059,15287,15621,15783,15911,16037,16121,16247,16399
1871,2043,2215,2357,2517,2609,2675,2823,2975,3099,3203,3311,3399,3517,3589,3735,3889,4009,4105,4211,4307,4411,4485,4647,4787,4977,5105,5269,5373,5439,5581,5741,5861,5959,6061,6159,6297,6403,6499,6569,6723,6895,7077,7205,7339,7443,7537,7605,7781,7935,8063,8163,8269,8363,8505,8615,8711,8779,8945,9219,9345,9499,9623,9725,9797,9947,10103,10227,10327,10435,10531,10673,10777,10875,10943,11095,11249,11435,11639,11793,11919,12067,12177,12275,12345,12533,12693,12893,13019,13179,13283,13355,13509,13663,13781,14039,14193,14333,14483,14599,14697,14767,14949,15107,15373,15667,15831,15991,16109,16179,16327,16471
