e,e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,b,k,h,f,c,g,j,c,b
655,951,1177,1371,1531,1701,1865,1993,2089,2171,2343,2495,2647,2751,2857,2947,3051,3127,3249,3401,3521,3625,3735,3829,3935,4051,4159,4237,4385,4539,4663,4775,4891,4983,5093,5207,5321,5399,5541,5695,5815,5931,6045,6139,6241,6361,6471,6551,6779,6955,7087,7189,7273,7495,7753,7891,7995,8109,8203,8309,8387
693,1001,1235,1403,1579,1749,1903,2063,2153,2225,2417,2567,2703,2811,2911,2999,3113,3175,3323,3469,3593,3691,3797,3889,4029,4133,4221,4289,4457,4611,4739,4845,4949,5043,5187,5291,5383,5451,5615,5769,5893,5999,6105,6197,6339,6445,6533,6603,6825,7003,7161,7265,7331,7571,7803,7963,8063,8167,8261,8373,8439
