e,h,h,h,f,c,b,h,e,e,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,k,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,k,h,e,k,f,f,c,g,j,c,b,k,h,e,k,f,f,c,g,j,c,b,k,h,e,h,f,c,b,k,k,e,k,f,f,c,g,j,d,d,c,b
475,1995,2421,2603,2743,2849,2929,3201,3399,3609,3813,3969,4097,4203,4315,4413,4521,4635,4751,4829,4965,5137,5331,5487,5647,5769,5879,5997,6091,6199,6319,6431,6513,6683,6859,7047,7223,7373,7493,7599,7715,7809,7927,8039,8157,8237,8363,8523,8649,8759,8875,8973,9079,9159,9291,9451,9571,9677,9793,9887,9997,10121,10239,10321,10601,10751,10937,11105,11305,11507,11705,11857,11983,12095,12211,12307,12415,12495,12631,12837,13045,13249,13419,13555,13667,13785,13881,13989,14071,14201,15051,15239,15391,15525,15635,15721,15843,16009,16211,16385,16535,16657,16765,16881,16979,17085,17207,17323,17407
517,2025,2453,2635,2817,2915,2985,3251,3451,3727,3879,4045,4171,4273,4377,4469,4621,4725,4813,4883,5041,5187,5429,5555,5717,5841,5949,6057,6149,6295,6405,6497,6563,6755,6901,7161,7299,7447,7567,7669,7775,7865,8019,8127,8225,8289,8441,8599,8721,8827,8935,9029,9143,9211,9363,9523,9645,9747,9847,9949,10097,10213,10309,10373,10647,10797,11043,11181,11347,11631,11781,11931,12057,12159,12271,12363,12481,12549,12707,12883,13167,13327,13493,13631,13739,13847,13941,14057,14123,14275,15095,15293,15439,15599,15701,15771,15921,16063,16319,16459,16611,16731,16831,16941,17035,17187,17293,17389,17453
