e,h,e,e,h,f,c,b,h,f,c,g,j,d,d,c,b,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e
1623,1841,1971,2295,2613,2767,2867,2943,3175,3329,3439,3551,3647,3745,3863,3979,4053,4553,4759,4921,5053,5151,5231,5351,5495,5613,5715,5829,5919,6021,6099,6247,6395,6511,6613,6735,6825,6929,7043,7155,7235,7921,8103
1723,1875,2035,2321,2647,2829,2929,2991,3225,3395,3503,3607,3693,3839,3949,4035,4097,4591,4805,4965,5121,5213,5281,5421,5567,5683,5779,5887,5971,6081,6151,6323,6467,6581,6679,6787,6877,7019,7125,7219,7273,7957,8213
