f,c,g,j,d,d,c,b,h,h,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b
55,167,279,375,483,607,725,805,1981,2173,2359,2549,2667,2775,2897,3015,3099,3221,3375,3503,3623,3711,3851,4011,4131,4241,4323,4449,4641,4827,4967,5071,5199,5319,5401,5555,5711,5845,5957,6039,6181,6385,6657,6783,6887,7011,7131,7213,7393,7557,7693,7801,7917,8017,8129,8259,8375,8459
133,239,343,433,581,693,793,863,2025,2223,2415,2597,2729,2875,2983,3083,3151,3299,3455,3577,3697,3769,3929,4087,4209,4309,4381,4527,4691,4877,5023,5173,5287,5387,5455,5637,5787,5919,6025,6097,6259,6433,6711,6841,6987,7103,7201,7271,7471,7631,7769,7875,7981,8081,8233,8349,8445,8515
