e,e,e,h,e,j,h,e,h,e,h,f,c,b,h,h,h,f,c,b,k,f,h,h,e,k,f,h,h,h,e,c,b,k,f,f,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b
2057,2389,2473,2877,3231,3393,3593,3729,3909,4059,4209,4341,4439,4519,4895,5063,5223,5359,5459,5539,5679,5839,6249,6409,6603,6765,6919,7223,7399,7575,7735,7847,7927,8047,8197,8315,8421,8507,8631,8815,8989,9133,9231,9313,9445,9611,9725,9839,9953,10045,10149,10263,10381,10457
2111,2471,2499,2915,3307,3419,3631,3779,3945,4117,4249,4407,4507,4571,4933,5109,5269,5429,5529,5593,5755,5909,6299,6455,6695,6839,6991,7273,7453,7611,7771,7915,7981,8123,8269,8391,8483,8553,8703,8861,9039,9201,9299,9365,9519,9681,9801,9907,10009,10101,10249,10351,10447,10515
