e,e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,e,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b
1789,1957,2455,2613,2751,2939,3125,3265,3365,3445,3627,3783,3913,4031,4145,4235,4343,4461,4577,4657,4861,5047,5235,5399,5523,5631,5749,5845,5951,6029,6159,6343,6463,6577,6659,6791,6967,7077,7171,7275,7401,7519,7601,7743,7935,8103,8225,8325,8449,8563,8647,8781,9005,9113,9195,9327,9483,9605,9715,9833,9929,10037,10115,10253,10407,10541,10649,10739
1841,2089,2513,2643,2813,2999,3165,3335,3431,3503,3703,3857,3985,4093,4203,4299,4445,4547,4643,4713,4911,5159,5311,5477,5599,5699,5815,5903,6013,6085,6237,6415,6539,6647,6711,6871,7035,7137,7229,7375,7495,7581,7655,7819,7985,8153,8279,8427,8539,8631,8699,8857,9057,9177,9249,9405,9561,9683,9787,9895,9991,10105,10171,10333,10485,10619,10723,10791
