e,e,h,e,h,e,h,h,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,e,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b
1527,1835,1977,2119,2295,2431,2591,2773,2939,3089,3193,3269,3401,3553,3675,3785,3869,3995,4155,4273,4377,4489,4583,4687,4807,4915,4995,5121,5287,5411,5523,5639,5727,5835,5911,6037,6201,6323,6435,6549,6643,6749,6875,6985,7067,7197,7353,7477,7583,7701,7795,7897,8017,8131,8209,8403,8585,8759,8885,8985,9107,9225,9305,9497,9673,9797,9907,10021,10117,10223,10351,10467,10549,10695,10851,10979,11095,11221,11317,11425,11541,11661,11739,12015,12171,12343,12515,12639,12721,12855,13001,13129,13249,13369,13461,13573,13651,13779,13995,14211,14337,14443,14565,14681,14765
1653,1861,2015,2193,2333,2499,2639,2821,2991,3161,3263,3327,3477,3627,3747,3855,3925,4073,4229,4345,4449,4551,4643,4783,4885,4985,5051,5201,5361,5487,5595,5697,5787,5907,5971,6119,6275,6399,6507,6611,6703,6847,6959,7051,7119,7279,7427,7553,7655,7761,7855,7989,8107,8205,8267,8479,8639,8817,8945,9083,9199,9295,9359,9575,9749,9873,9981,10085,10181,10323,10441,10539,10607,10773,10929,11055,11169,11285,11385,11525,11631,11731,11799,12071,12227,12399,12575,12705,12783,12933,13079,13207,13329,13429,13525,13641,13713,13863,14049,14267,14401,14545,14657,14753,14817
