e,h,e,h,e,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b
331,977,1115,1295,1441,1817,1985,2127,2229,2309,2457,2607,2731,2835,2947,3041,3147,3263,3377,3453,4055,4215,4363,4497,4599,4681,4817,4963,5087,5191,5299,5393,5499,5617,5729,5809,5965,6167,6343,6459,6561,6679,6789,6871,7001,7151,7277,7399,7509,7623,7719,7825,7901,8029,8183,8331,8443,8557,8651,8759,8877,8997,9075,9367,9537,9663,9765,9881,9997,10079,10215,10397,10591,10709,10791,10955,11103,11223,11333,11451,11547,11655,11775,11885,11969,12151,12295,12447,12559,12641
377,1003,1177,1323,1513,1867,2037,2195,2291,2357,2527,2677,2803,2901,2999,3099,3243,3347,3443,3507,4089,4265,4413,4571,4671,4739,4891,5037,5159,5259,5363,5451,5599,5705,5797,5865,6041,6205,6387,6519,6659,6765,6853,6919,7075,7223,7353,7475,7575,7685,7775,7887,7953,8103,8257,8409,8509,8619,8711,8861,8967,9059,9131,9419,9589,9717,9863,9969,10059,10131,10291,10445,10649,10777,10849,11035,11179,11297,11407,11509,11607,11753,11863,11953,12023,12223,12371,12521,12627,12691
