d,d,c,b,k,f,f,c,b,h,e,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,h,h,h,e,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b
7,89,205,287,421,573,703,809,901,1929,2119,2277,2411,2547,2657,2741,2869,3019,3153,3265,3351,3483,3667,3821,3945,4045,4165,4281,4365,4495,4651,4779,4895,4977,5107,5501,5647,6313,6469,6623,6791,6917,6999,7127,7281,7405,7515,7637,7735,7845,7927,8055,8219,8347,8459,8543
67,177,271,341,497,651,777,881,953,1967,2159,2327,2465,2621,2729,2797,2945,3091,3229,3337,3405,3559,3715,3873,4001,4145,4253,4345,4413,4569,4729,4855,4963,5033,5191,5549,5701,6357,6517,6671,6843,6983,7047,7207,7355,7483,7583,7697,7791,7909,7981,8133,8297,8425,8527,8595
