e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,k,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,e,h,e,k,f,f,c,b,h,h,j,d,d,c,b
1527,1991,2155,2351,2491,2591,2673,2849,3011,3131,3239,3351,3449,3553,3675,3789,3869,4003,4199,4389,4557,4665,4785,4897,4977,5115,5299,5489,5647,5805,5931,6045,6159,6253,6361,6481,6595,6677,6811,7003,7215,7325,7427,7551,7667,7747,7905,8103,8301,8471,8623,8743,8853,8969,9065,9171,9293,9405,9487,9647,9813,9933,10039,10125,10271,10475,10681,10835,11001,11133,11335,11493,11647,11771,11883,11969,12283,12441,12563,12665,12785,12907,12989
1567,2027,2209,2387,2559,2647,2721,2919,3081,3203,3303,3405,3501,3653,3761,3853,3917,4073,4245,4493,4609,4765,4871,4953,5027,5191,5349,5595,5723,5879,6007,6113,6221,6311,6459,6567,6663,6727,6883,7051,7255,7379,7527,7639,7731,7797,7983,8143,8419,8547,8695,8815,8923,9027,9123,9267,9381,9473,9537,9721,9887,10005,10113,10181,10351,10525,10733,10887,11029,11181,11423,11569,11725,11847,11953,12023,12327,12487,12619,12767,12879,12969,13031
